X (ms);C0:2169[0];C1:2521[0];C2:70[0];C3:80[0]
4,687500;12,359094;100304,000000;563,050049;13039,857422
4,875000;14,567303;100304,000000;561,099976;13291,527344
5,062500;16,958263;100304,000000;556,550049;13443,143555
5,250000;19,460302;100304,000000;556,200012;13140,104492
5,437500;21,985378;100304,000000;548,450012;13462,258789
5,625000;24,625673;100304,000000;546,900024;13721,467773
5,812500;27,322407;100801,000000;540,000000;13354,030273
6,000000;30,012882;100801,000000;542,099976;13607,103516
6,187500;32,844238;100801,000000;539,450012;13607,485352
6,375000;35,692196;100801,000000;540,350037;13235,381836
6,562500;38,532097;100801,000000;538,400024;13484,917969
6,750000;41,512329;101565,000000;537,200012;13594,108398
6,937500;44,434277;101565,000000;533,500000;13403,326172
7,125000;47,362247;101565,000000;532,599976;13626,641602
7,312500;50,325043;101565,000000;534,700012;13631,141602
7,500000;53,259773;101565,000000;530,200012;13402,136719
7,687500;56,224068;102600,000000;527,200012;13589,675781
7,875000;59,314598;102600,000000;526,150024;13501,688477
8,062500;62,270836;102600,000000;520,950012;13395,968750
8,250000;65,241035;102600,000000;522,300049;13523,647461
8,437500;68,265511;102600,000000;516,550049;13534,023438
8,625000;71,218842;102600,000000;510,950012;13484,393555
8,812500;74,189529;103905,000000;513,000000;13631,475586
9,000000;77,253052;103905,000000;510,900024;13509,195313
9,187500;80,219856;103905,000000;506,600006;13503,281250
9,375000;83,249268;103905,000000;504,500000;13497,125977
9,562500;86,187309;103905,000000;506,900024;13045,769531
9,750000;89,131516;105475,000000;508,000000;11921,205078
9,937500;92,170471;105475,000000;506,900024;11076,735352
10,125000;95,014038;105475,000000;512,000000;10369,243164
10,312500;97,651886;105475,000000;512,099976;9474,846680
10,500000;100,220940;105475,000000;513,500000;8740,146484
10,687500;102,718613;107288,000000;515,400024;8749,933594
10,875000;105,124832;107288,000000;519,700012;8595,437500
11,062500;107,350838;107288,000000;517,150024;8275,267578
11,250000;109,470451;107288,000000;519,800049;7992,557129
11,437500;111,664055;107288,000000;520,150024;7753,747070
11,625000;113,694519;107288,000000;519,849976;7772,626953
11,812500;115,615730;109276,000000;519,050049;7764,805664
12,000000;117,534134;109276,000000;523,650024;7488,256836
12,187500;119,293388;109276,000000;519,599976;7244,324707
12,375000;121,067719;109276,000000;516,600037;7187,787109
12,562500;122,911179;109276,000000;513,200012;7116,749512
12,750000;124,644470;111408,000000;522,950012;7306,395508
12,937500;126,349442;111408,000000;521,750000;7292,161621
13,125000;128,045502;111408,000000;523,450012;7087,329590
13,312500;129,738098;111408,000000;525,150024;6981,208984
13,500000;131,244873;111408,000000;526,150024;6953,160645
13,687500;132,812561;113681,000000;529,700012;6772,716797
13,875000;134,355499;113681,000000;530,549988;6916,330566
14,062500;135,984482;113681,000000;531,800049;7156,685547
14,250000;137,569183;113681,000000;538,849976;7213,555176
14,437500;139,031693;113681,000000;536,200012;7169,277344
14,625000;140,520447;113681,000000;532,500000;7222,255371
14,812500;141,993332;116084,000000;534,100037;7270,928223
15,000000;143,523712;116084,000000;532,000000;7456,266113
15,187500;145,035263;116084,000000;533,600037;7728,611816
15,375000;146,757568;116084,000000;530,150024;7724,809082
15,562500;148,259064;116084,000000;531,700012;7826,437012
15,750000;149,764771;118623,000000;528,900024;7782,169922
15,937500;151,271637;118623,000000;525,650024;7776,638184
16,125000;152,707703;118623,000000;527,849976;8115,425293
16,312500;154,389435;118623,000000;528,950012;8553,863281
16,500000;156,224792;118623,000000;526,900024;8610,329102
16,687500;157,922165;121304,000000;529,950012;8750,295898
16,875000;159,586609;121304,000000;530,599976;8424,856445
17,062500;161,136566;121304,000000;533,450012;8330,746094
17,250000;162,795242;121304,000000;531,250000;8831,666992
17,437500;164,633621;121304,000000;531,700012;9089,125000
17,625000;166,701431;121304,000000;532,050049;9201,472656
17,812500;168,460617;124145,000000;531,900024;9237,743164
18,000000;170,052597;124145,000000;530,599976;8793,639648
18,187500;171,822571;124145,000000;528,800049;8725,041016
18,375000;173,721451;124145,000000;525,849976;9625,575195
18,562500;175,905670;124145,000000;523,700012;9848,877930
18,750000;177,813339;127156,000000;524,400024;9751,887695
18,937500;179,488235;127156,000000;526,250000;9504,833008
19,125000;181,436554;127156,000000;519,800049;9348,738281
19,312500;183,430557;127156,000000;518,500000;9970,986328
19,500000;185,734283;127156,000000;517,700012;10631,195313
